,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
276,tt0557241,tvEpisode,The Benefactor,The Benefactor,0,1962.0,,60.0,[],8.6,22
277,tt9130380,tvEpisode,Invictus,Invictus,0,2018.0,,23.0,"['Action', 'Adventure', 'Animation']",8.8,16
279,tt0125527,movie,"Takt, tone og tosser","Takt, tone og tosser",0,1925.0,,103.0,[],6.8,10
280,tt0532620,tvEpisode,Volunteers from Aberdeen,Volunteers from Aberdeen,0,1960.0,,60.0,[],8.0,22
283,tt3734546,movie,The Human Zoo,The Human Zoo,0,2011.0,,93.0,"['Documentary', 'History']",8.0,7
284,tt4354146,movie,Cheerleader Camp: To the Death,Cheerleader Camp: To the Death,0,2014.0,,70.0,[],3.5,57
285,tt3243764,movie,Koinonia,Koinonia,0,2014.0,,94.0,"['Adventure', 'Drama', 'Mystery']",7.0,18
286,tt3323560,tvEpisode,The Furies,The Furies,0,2013.0,,43.0,"['Adventure', 'Drama', 'Fantasy']",7.2,170
287,tt1093822,tvMovie,Dounreay: The Atomic Dream,Dounreay: The Atomic Dream,0,2006.0,,60.0,[],7.8,5
288,tt5987506,movie,Dong-chang-ho-eui mok-jeok,Dong-chang-ho-eui mok-jeok,0,2015.0,,101.0,"['Drama', 'Romance']",5.6,69
289,tt3214932,tvMovie,What Would You Do for Love,What Would You Do for Love,0,2013.0,,88.0,[],7.2,55
290,tt0065802,movie,Guess What We Learned in School Today?,Guess What We Learned in School Today?,0,1970.0,,96.0,[],4.5,131
291,tt4918278,short,Bacon & God's Wrath,Bacon & God's Wrath,0,2015.0,,8.0,"['Animation', 'Documentary', 'Family']",7.3,75
292,tt1381767,video,Flicka 2,Flicka 2,0,2010.0,,96.0,[],6.0,1467
293,tt5067306,tvEpisode,Double peine 1ère partie,Double peine 1ère partie,0,2016.0,,49.0,"['Crime', 'Drama', 'Mystery']",7.4,14
294,tt4809422,tvEpisode,Blood and Fear,Blood and Fear,0,2015.0,,44.0,"['Action', 'Adventure', 'Crime']",7.6,392
295,tt0391320,video,The Making of 'The Big Lebowski',The Making of 'The Big Lebowski',0,1998.0,,25.0,"['Documentary', 'Short']",6.3,139
296,tt1763059,tvEpisode,Lady in the Lake,Lady in the Lake,0,2011.0,,41.0,"['Crime', 'Drama', 'Fantasy']",7.7,74
297,tt3514304,tvEpisode,Episode #2.19,Episode #2.19,0,2014.0,,22.0,"['Comedy', 'Game-Show']",6.7,9
298,tt9597142,tvEpisode,Skincrawlers/By the Silver Water of Lake Champlain,Skincrawlers/By the Silver Water of Lake Champlain,0,2019.0,,44.0,"['Fantasy', 'Horror']",7.1,294
299,tt4527626,tvEpisode,His Troubled Thoughts,His Troubled Thoughts,0,2016.0,,59.0,"['Crime', 'Drama', 'Thriller']",7.5,859
302,tt1059857,tvMovie,Which Way to the War,Which Way to the War,0,1994.0,,30.0,[],4.8,5
303,tt9252828,tvEpisode,"Sardonicast #20: Chris Stuckmann, The Piano Teacher","Sardonicast #20: Chris Stuckmann, The Piano Teacher",0,2018.0,,111.0,"['Comedy', 'Talk-Show']",8.6,7
304,tt10885564,tvEpisode,Papa New Guinea,Papa New Guinea,0,2016.0,,48.0,[],8.8,5
306,tt1227699,tvEpisode,Fangs of Repentance,Fangs of Repentance,0,2008.0,,24.0,"['Action', 'Animation', 'Drama']",7.3,34
307,tt0858657,tvEpisode,Die Heimkehr,Die Heimkehr,0,1990.0,,95.0,"['Comedy', 'Drama', 'Romance']",7.2,6
308,tt7878838,video,Senna: The Test,Senna: The Test,0,2017.0,,26.0,"['Documentary', 'Short']",8.2,8
309,tt0084499,tvEpisode,"Pilgrim, Farewell","Pilgrim, Farewell",0,1982.0,,102.0,"['Comedy', 'Drama', 'Romance']",8.1,16
310,tt0218589,video,The Secret of Mulan,The Secret of Mulan,0,1998.0,,50.0,"['Animation', 'Family', 'Musical']",4.6,76
311,tt1405793,short,The Ugly File,The Ugly File,0,2009.0,,10.0,"['Horror', 'Short']",6.0,21
